ID,ROUTE,ALLOC,ORDER
1,1,115,1
2,2,98,1
3,3,63,1
4,4,115,1
5,4,115,2
6,5,117,1
7,5,117,2
8,5,117,3
9,5,117,4
10,6,132,1
11,6,132,2
12,7,131,1
13,7,131,2
14,7,131,3
15,8,132,1
16,8,132,2
17,8,132,3
18,8,132,4
19,8,132,5
20,8,132,6
21,9,131,1
22,10,3,1
23,10,3,2
24,11,131,1
25,11,131,2
26,11,131,3
27,11,131,4
28,12,167,1
29,12,167,2
30,13,3,1
31,13,3,2
32,14,167,1
33,15,3,1
34,16,167,1
35,17,170,1
36,18,3,1
37,18,3,2
38,18,3,3
39,18,3,4
40,19,13,1
41,19,13,2
42,19,13,3
43,20,16,1
44,20,16,2
45,20,16,3
46,20,16,4
47,20,16,5
48,20,16,6
49,20,16,7
50,21,33,1
51,21,33,2
52,21,33,3
53,21,33,4
54,21,33,5
55,21,33,6
56,22,40,1
57,22,40,2
58,22,40,3
59,23,53,1
60,23,53,2
61,23,53,3
62,23,53,4
63,23,53,5
64,23,53,6
65,24,57,1
66,25,58,1
67,26,53,1
68,27,57,1
69,28,63,1
70,28,63,2
71,29,53,1
72,30,63,1
73,31,170,1
74,31,170,2
75,32,89,1
76,33,170,1
77,33,170,2
78,34,89,1
79,35,170,1
80,36,89,1
81,36,89,2
82,36,89,3
83,37,170,1
84,37,170,2
85,37,170,3
86,37,170,4
87,38,98,1
88,39,170,1
89,40,115,1
90,40,115,2
91,41,98,1
92,42,115,1
93,42,115,2
94,42,115,3
95,43,117,1
96,43,117,2
97,43,117,3
98,43,117,4
99,44,132,1
100,44,132,2
