ID,ROUTE,ALLOC,ORDER
1,1,105,1
2,1,105,2
3,2,127,1
4,2,127,2
5,3,105,1
6,3,105,2
7,3,105,3
8,3,105,4
9,3,105,5
10,4,127,1
11,5,113,1
12,6,115,1
13,6,115,2
14,6,115,3
15,6,115,4
16,6,115,5
17,7,141,1
18,8,127,1
19,8,127,2
20,8,127,3
21,9,131,1
22,10,148,1
23,10,148,2
24,11,141,1
25,11,141,2
26,11,141,3
27,11,141,4
28,12,148,1
29,13,4,1
30,14,148,1
31,14,148,2
32,14,148,3
33,14,148,4
34,15,167,1
35,16,4,1
36,17,167,1
37,18,4,1
38,18,4,2
39,18,4,3
40,18,4,4
41,19,8,1
42,20,10,1
43,20,10,2
44,20,10,3
45,20,10,4
46,20,10,5
47,20,10,6
48,20,10,7
49,20,10,8
50,20,10,9
51,21,33,1
52,21,33,2
53,21,33,3
54,21,33,4
55,21,33,5
56,22,47,1
57,22,47,2
58,22,47,3
59,22,47,4
60,22,47,5
61,22,47,6
62,22,47,7
63,22,47,8
64,22,47,9
65,22,47,10
66,22,47,11
67,22,47,12
68,22,47,13
69,22,47,14
70,22,47,15
71,22,47,16
72,23,131,1
73,24,73,1
74,25,88,1
75,26,73,1
76,26,73,2
77,27,88,1
78,28,80,1
79,29,88,1
80,30,80,1
81,30,80,2
82,31,88,1
83,31,88,2
84,31,88,3
85,31,88,4
86,32,105,1
87,33,127,1
88,33,127,2
89,34,105,1
90,34,105,2
91,34,105,3
92,35,127,1
93,35,127,2
94,36,113,1
95,36,113,2
96,37,115,1
97,37,115,2
98,37,115,3
99,37,115,4
100,38,141,1
