ID, LOCATION, NAME, #C1, #C2, #C3, #C4
1,''-9.94984;-36.0923'',''ST94-AL6'',2,1,2,1
2,''-9.94986;-36.0923'',''ST96-AL7'',2,2,2,1
3,''-9.95023;-36.0483'',''ST99-AL5'',2,2,0,1
4,''-9.95023;-36.0483'',''ST100-AL5'',2,0,1,2
5,''-9.95029;-36.0908'',''ST102-AL4'',0,1,2,1
6,''-9.95032;-36.0907'',''ST104-AL2'',1,0,0,1
7,''-9.95043;-36.0875'',''ST105-AL3'',0,0,2,1
8,''-9.95056;-36.089'',''ST106-AL5'',2,0,2,1
9,''-9.95135;-36.0894'',''ST108-AL6'',2,2,0,2
10,''-9.95164;-36.0492'',''ST109-AL4'',1,0,2,1
11,''-9.95322;-36.0805'',''ST112-AL5'',1,0,2,2
12,''-9.95477;-36.0785'',''ST115-AL4'',2,0,1,1
13,''-9.95514;-36.0777'',''ST117-AL6'',2,2,1,1
14,''-9.95706;-36.0755'',''ST119-AL2'',2,0,0,0
15,''-9.95818;-36.0744'',''ST120-AL1'',0,0,1,0
16,''-9.95937;-36.0731'',''ST121-AL3'',0,0,1,2
17,''-9.9612;-36.0693'',''ST124-AL5'',0,2,1,2
18,''-9.96174;-36.0496'',''ST126-AL7'',2,2,1,2
19,''-9.96184;-36.0499'',''ST127-AL5'',1,2,1,1
20,''-9.96204;-36.0499'',''ST128-AL4'',2,1,1,0
21,''-9.96211;-36.0478'',''ST131-AL3'',2,0,0,1
22,''-9.96252;-36.0405'',''ST133-AL3'',1,2,0,0
23,''-9.96268;-36.0466'',''ST136-AL2'',1,0,1,0
24,''-9.96279;-36.065'',''ST139-AL4'',1,2,0,1
25,''-9.9628;-36.0618'',''ST141-AL3'',1,0,2,0
26,''-9.96293;-36.062'',''ST144-AL6'',2,2,2,0
27,''-9.96299;-36.0621'',''ST147-AL5'',2,0,2,1
28,''-9.96316;-36.0459'',''ST149-AL2'',0,0,2,0
29,''-9.96781;-35.9768'',''ST151-AL3'',1,1,1,0
30,''-9.96871;-36.0362'',''ST152-AL6'',2,2,1,1
31,''-9.97321;-36.0357'',''ST154-AL3'',0,1,1,1
32,''-9.97328;-36.0357'',''ST155-AL6'',0,2,2,2
33,''-9.97667;-36.0331'',''ST158-AL3'',0,0,1,2
34,''-9.98113;-36.0333'',''ST161-AL5'',1,1,2,1
35,''-9.9889;-36.0166'',''ST164-AL5'',2,1,2,0
36,''-9.99554;-36.0332'',''ST167-AL5'',1,2,1,1
37,''-9.97064;-35.9798'',''ST169-AL4'',1,2,0,1
38,''-10.0018;-36.018'',''ST1-AL7'',1,2,2,2
39,''-10.0022;-36.0179'',''ST2-AL4'',1,1,1,1
40,''-10.0035;-36.0177'',''ST5-AL8'',2,2,2,2
